zpr|VIDEO: Vyzkoušeli jsme sílu hurikánu. Lze ustát vítr o rychlosti 250 km/h?
spo|Ve Spartě nechtěný Mazuch bude hrát druhou anglickou ligu za Hull
zpr|Zásah policie proti aktivistům v lomu Bílina prověřuje inspekce
zpr|Doplnění kandidátek po vypadnutí Starostů nebude problém, hlásí lidovci
spo|Siniaková ve finále vyzrála na Wozniackou a v Bastadu slaví titul
spo|Sparta pustila Haška do Bohemians. Necítil jsem tam šanci, přiznává
spo|Ať je zase cítit, že jsme hladoví každou minutu, přeje si Šmejkal
tec|Microsoft „vyladil“ modrou obrazovku smrti. Lépe vysvětlí příčinu pádu
spo|V Nymburce změří o víkendu síly v rink bandy týmy z pěti zemí
zpr|Večerku přepadla žena s dlouhým nožem, prodavačka ji zahnala plácačkou
zpr|Hurikán Harvey dorazil nad pevninu USA, udeřil větrem o síle 209 km/h
zpr|Přestřihl jsem svou legitimaci, říká bývalý hradecký lídr hnutí ANO
zpr|Hlavní stratég Bannon v Bílém domě končí, potvrdila mluvčí spekulace
spo|Dvojnásobná euforie v Račicích! Zlato na pětistovce slaví Dostál i Fuksa
tec|Obchod Mall.cz kvůli stěhování stornoval objednávky a nestíhal termíny
zpr|Před volbami váhá polovina voličů. Startup zjistil, jak se rozhodují
spo|1:6, 0:6 od Strýcové, pak wimbledonský titul. A teď tanec s Rogerem?
zpr|Drancuje nás Rusko, vypadl na historiky vzkaz z kopule Staroměstské radnice
zpr|Někdo letí na dovolenou, my koupili druhou pec, říká majitelka pekárny
spo|Vodní letec Civín: Skútr je můj anděl i ďábel, jednou budu jako Green Goblin
spo|Rutta míří do Chicaga jako angličtinář. Učil se i od Skinnera
zpr|Při úniku isokyanátu ve firmě na Klatovsku se přiotrávili dva muži
tec|USA se těšily na superlék, lékařka odhalila jeho strašné vedlejší účinky
spo|Můžou vás vyhodit, i když vyhráváte, odhání spekulace jihlavský kouč
tec|Rozebral laserovou tiskárnu a pomaloval vajíčka těžko uvěřitelnými vzory
zpr|Červené karty, bučení, pískot. Mítinky Merkelové sabotují stoupenci AfD
zpr|Výstraha z Moskvy. Rusko vyslalo ke Korejskému poloostrovu bombardér
spo|Druhý domov jezdců. Abraham popisuje, jak se žije v padoku
zpr|Stát najímá hackery, otestují zabezpečení systémů před volbami
zpr|Žena, kterou v Praze zasáhl blesk, v nemocnici zemřela
tec|Panasonic slaví 99 let. Nabídne neviditelnou OLED TV i 4K pro každého
zpr|V Iráku zadrželi Němku bojující za IS. Všeho lituji, chci domů, říká
zpr|VIDEA TÝDNE: Thurmanová ve Varech, prezident na člunu a smrt řidičky živě
spo|7. DEN MS: Hejnová doběhla čtvrtá, Vadlejch, Frydrych a Hrubá ve finále
tec|I s tabletem se můžete k internetu připojit anonymně
spo|Hyka spoluvytváří historii Golden Knights. Dal první gól nováčka NHL
tec|Zemřel konstruktér legendárního obřího „Jumbo“ letounu Boeing 747
spo|Odešla česká volejbalová legenda, Josef Musil v 85 letech zemřel
spo|Boleslav získala útočníka Komličenka a testuje reprezentanta Austrálie
zpr|Finanční správa promluvila o FAU. Účastnila se řetězového podvodu, tvrdí
tec|Zkuste na tabletu netradiční videoeditor nebo sociální síť pro motoristy
spo|Šest let bez výhry. Volejbalisté mohou na ME jen překvapit
spo|OBRAZEM: Tři české medaile a dvě smutná loučení. Jaké bylo atletické MS?
zpr|Nadměrné pití zkracuje život o více než dvacet let, prokázala studie
zpr|Europoslanec: Jste k sudetským Němcům velkorysejší než Slováci k Maďarům
ona|OBRAZEM: Svlékací hrnek, mušle, cigarety. To jsou nejhorší vánoční dárky
spo|Světový rekordman Rudisha na MS neozdobí půlku. Trápí ho stehno
spo|Barguil, hrdina Tour, byl vyhozen z Vuelty. Vlastní tým jej poslal domů
zpr|OBRAZEM: Válka rozložila Jižní Súdán, smrt rozsévá vláda i povstalci
zpr|Poláci v tichosti rozšiřují důl na hranicích, bojí se starostové o vodu
spo|Kuráž! vyzývá trenér Kotyza. Přehazováním sítě se grandslam nevyhraje
spo|Revoluce se odkládá. V Davis Cupu se bude hrát dál na tři vítězné sety
zpr|Trump jmenoval personálním šéfem ministra Kellyho, Priebus ztratil důvěru
spo|Opava si zastřílela, Olympia zůstává bez porážky, Příbram čeká na výhru
tec|Intelu se nelíbí, že mají Windows běžet na ARM čipech bez jeho licence
zpr|Tropická bouře Norma zesílila v hurikán a postupuje k Mexiku
zpr|Italský ministr vidí světlo na konci tunelu, příliv migrantů klesá
ona|OBRAZEM: Stříbrné linky, černé rty. Nové trendy v líčení jsou radikální
ona|Co večeří výživoví poradci: saláty, chléb i krevety
spo|Nová síla. Za teenagera Paříž zaplatila 4,7 miliardy, kde na to bere?
spo|Rozsypané Táborsko? Vypadají velice dobře, varuje trenér Hradce
zpr|Štech poprvé rozdával profesury, titul nově nosí Jakubisko či Eben
spo|Pardubičtí hokejisté podlehli v generálce prvoligovému Prostějovu
zpr|Vlaky na koridoru mezi Prahou a Ostravou stály přes 4 hodiny
spo|Rumuni si na nás vždycky věří. My to chceme zlomit, tvrdí Petržela
ona|Obviňují mě z anorexie, přitom normálně jím a jsem zdravá, říká Jamesová
tec|Další velká aktualizace Windows 10 přijde v říjnu, potvrdil Microsoft
zpr|Ředitelka odvolaná kvůli šikaně se chce bránit, kraj už hledá nástupce
spo|Abraham dojel ve Velké ceně Rakouska čtrnáctý, Kornfeil nebodoval
spo|Šéfovi fotbalového Juventusu hrozí za kontakt s mafií dvouletý distanc
tec|Google na poslední chvíli bojuje proti obří pokutě od Evropské komise
zpr|OBRAZEM: Satelitní snímky NASA ukazují proměnu ledového příkrovu Země
zpr|Policie obvinila otce, který nabádal svou nezletilou dceru k rasismu
tec|Skype umožní vstoupit do konverzace uživatelům, kteří ani nemají účet
spo|Jablonec - Plzeň 0:1, tři body za gól ze standardky, trefil se Hájek
spo|Záložník Darida prodloužil o další dva roky smlouvu s Herthou Berlín
zpr|Policie po 30 letech obvinila tři estébáky. V akci Asanace hrozili lékaři
spo|Jak se připravit na Severní kanál? Bernardová si do vany sypala led
spo|Desátý díl do sparťanské skládačky. Z Lille přichází záložník Rio Mavuba
tec|Facebook uživatelům pomůže potlačit nepříjemné vzpomínky
spo|Konec Peškova života v bublině: Už musím přemýšlet jako dospělý člověk
spo|Rahm ovládl golfové Irish Open v rekordu a má první evropský titul
spo|Cíl „triatlonisty“ Šebrleho: Dokončit závod a nezmrznout
spo|WorldTour stolních tenistů v Olomouci vyhrál čtrnáctiletý Japonec
tec|Trump získá nejen Obamovo křeslo, ale i účty  na sociálních sítích
tec|Ze služby Last.fm uniklo 43 milionů „neosolených“ uživatelských hesel
zpr|Úřady zanedbávají požární bezpečnost, tvrdí obyvatelé londýnského věžáku
spo|Kvitová vyhrála anketu WTA o nejpovedenější úder měsíce
zpr|Za pobodání mladé ženy v Litvínově může Němec dostat dvacet let
zpr|Zažíváme šesté masové vymírání druhů, tvrdí studie. Část vědců nesouhlasí
zpr|Slovenská policie už má lupiče z poštovního vozu. Skrývali se i na Zlínsku
zpr|Třeboň diskriminovala nevidomého žadatele o byt, město musí platit pokutu
spo|Plzeň v Rakousku prohrála i druhý zápas, Teplice podlehly Varnsdorfu
spo|Dva roky, dva měsíce a dva týdny. Tak dlouho čekal Pilař na ligový gól
ona|VIDEO: Drdol z copánků vytvoříte za pár minut a pokaždé vypadá jinak
ona|Pravda o mléku: nezahleňuje a pomáhá při hubnutí
tec|Genetici si pohráli s DNA lidských oplodněných vajíček
zpr|Zeman jmenuje premiérem vítěze voleb, uvedl prezidentův mluvčí
zpr|Rodina na výletě větrala auto, zloděj z něj vzal věci za desetitisíce
spo|Texlova hvězda stoupá. S fotbalem jsem chtěl skončit, přiznal
zpr|Žádné vlajky IS u nás nevlají, odmítl Zemanovy dojmy bosenský prezident
zpr|V Hongkongu odsoudili českého seniora za pašování drog, dostal 27 let
spo|Ovečkin zopakoval: Pořád chci na olympiádu. NHL mezitím přitvrdila
spo|Triatlonisté se těší na kulisy Prahy, bude jich více než tisíc
zpr|Muž pořezal v Londýně dva policisty, jiného útočníka v Bruselu zastřelili
zpr|Podnikatel neuspěl s obnovou soudu za vymyšlené povodně, trest už končí
zpr|Na Šumpersku vykolejil nákladní vlak, vjel na špatnou kolej
spo|Zábranský o své Kometě: Nevěřím na hulákání. Je potřeba být nad věcí
zpr|Řidička vjela na koleje, vlak auto odhodil na louku
spo|Plážové volejbalistky Hermannová, Sluková končí v Gstaadu po čtvrtfinále
zpr|Schulz představil program SPD. Nesolidární státy EU by měly platit, řekl
zpr|Zloděj kradl košili kvůli pracovnímu pohovoru, policista mu ji koupil
zpr|Exprezident Wulff si k rentě přivydělává v turecké firmě, levice zuří
spo|Hrál s Hazardem a skolil Zlatana. Rio Mavuba, nová posila Sparty
spo|Ml. Boleslav - Brno 0:0, napraví domácí zpackaný vstup do sezony?
zpr|Pes v centru Hradce Králové honil zajíce, srazil ho městský autobus
tec|Nová ruská houfnice má vysokou rychlost střelby a obrovský dostřel
ona|Bývalá modelka chce po exmanželovi výživné 6 a půl miliardy korun
zpr|Poslanci kvapem přijali registr smluv, některé dokumenty půjde dál utajit
zpr|Bez přehánění je možné mluvit o válce v Evropě, tvrdí exprezident Klaus
zpr|Zastavte, jsem ministryně! Lidé se baví příhodou Šlechtové na MotoGP
zpr|Nehádejme se o kvóty, řekl Gabriel. Zaorálek mu prý český odpor vysvětlil
spo|Krutý zlínský start: prohra, vyloučený Traoré, Jiráček ve špitále
spo|Dala bych si pětku, oznámkovala Plíšková svůj vstup do US Open
zpr|Zloděj se vloupal do auta těhotné ženě, viděla ho ale projíždějící řidička
tec|Umělá inteligence od Googlu pomůže najít práci
ona|Hana Robinson: Pokud mi nemoc nedovolí hrát na piano, budu jen zpívat
zpr|Falešný pošťák nosil balíky na dobírku. Za kamení i ubrousky získal tisíce
tec|Obří rybožraví Spinosauridi si občas pochutnali i na jiném dinosaurovi
zpr|Česko podalo žalobu na evropskou směrnici, která omezuje držení zbraní
spo|Český střelec Lipták na MS v trapu jako jediný ještě nechyboval
zpr|Policisté hledali spoutanou holčičku v autě, její únos však byl výmysl
zpr|Kvůli únorové vraždě novorozence policie prověří DNA čtyř stovek žen
zpr|Kubera může bojovat o Hrad. Ukázal potřebné podpisy senátorů
ona|Příběh Martina: Jsem gay. Jak to mám říct mámě?
spo|Další návrat Šarapovové. Bojovala jsem s řadou věcí, líčila ve Stanfordu
spo|Zlín se vrací do fotbalové Evropy, půjde o prestiž i peníze
spo|Příliš brzký konec? Měli ho nechat, ať mě sundá, je přesvědčený McGregor
ona|Za úplatu testuje muže, zda jsou věrní. Je to adrenalin, říká aktérka
spo|Spojovat mé akné s dopingem? To snad ne, zlobí se nejrychlejší Evropanka
ona|Sexismus v Hollywoodu je hloupost, mám spoustu práce, říká Theronová
spo|Začíná Hülkenbergova éra. Pilot bere svůj nelichotivý rekord s humorem
zpr|Nahrávat Babiše nebylo trestné. Policie oznámení šéfa ANO odložila
spo|Pot a dřina házenkářských Andělů. Holky jsou nadupané, chválí kouč Mostu
spo|Jansta v kauze dotací údajně naváděl k trestnému činu
zpr|O úderu bleskem panují mýty. Lákají je i nižší místa, zabíjet může i doma
ona|Obamovi byli Američanům vzorem i jako rodiče. Jací budou Trumpovi?
ona|OBRAZEM: Odhalování bez hranic. Nejodvážnější šaty z červeného koberce
tec|Celý vesmír v tabletu nebo antivir, který drží od tabletu viry zpátky
spo|Cyklistické Giro začne příští rok v Izraeli, spekuluje se v médiích
tec|Microsoft začne prodávat brýle, které vám pomohou i s opravou umyvadla
zpr|Veterináři potvrdili třetí případ afrického moru prasat. Našli mrtvé sele
spo|Plíšková první duel jako jednička vyhrála, další brzký konec Kvitové
spo|Kouč basketbalistů: Neřešíme, kdo nám chybí. Jdeme do války s tímhle
spo|Teplický trenér Šmejkal po prohře s Varnsdorfem: Díky za tuhle lekci
spo|Fotbal se vrátil do Tábora. Zajímalo to 1 300 diváků
spo|Cílem pardubických fotbalistů je střed. Cesta k němu má být klidná
spo|Frintová: Raději mám teplo, ale druhé místo z Varů je skvělé
spo|Chci úspěch, i proto jsem zůstal, tvrdí hradecký útočník Červený
spo|Divoké léto je pryč. Jánošík Vondrka teď zařídil pro Chomutov snový start
zpr|Klienti cestovek přišli o statisíce, zprostředkovatelka si je nechala
spo|Supertýmy NBA se rodí z Dream Teamu. Olympijská přátelství přetrvávají
spo|Můžu teď umřít? Fanoušek promrhal životní šanci na finále Stanley Cupu
ona|Devět příznaků poporodní deprese, které byste neměla ignorovat
spo|Lipsko si po bundesligové předehrávce veze tři body z Hamburku
zpr|Chirurgický úder proti KLDR? Odpověď by byla strašlivá, varují experti
spo|Hokejové Pardubice ulovily do týmu top snajpra dánské ligy
zpr|Schulz chce prosadit přerozdělování migrantů. Solidarita je princip, řekl
zpr|Praze víc, Brnu méně. Zástupci obcí si mohou polepšit, nejvíc Krnáčová
zpr|Na swingers party vytáhl pistoli. Policie muže v kostýmu Jokera střelila
tec|Zákeřný ransomware útočí cíleně na Čechy. Láká na fakturu v příloze
spo|Blíží se konec Jágrova čekání? Momentálně se hovoří o zájmu Buffala
zpr|Podezřelý z podvodu nemá být premiérem, míní Hilšer. Otázku vyhrál potřetí
spo|Jihlava - Dukla, domácí jdou za první výhrou, hosté přijeli bez Holka
zpr|Na bavorské dálnici vzplál autobus se seniory, osmnáct jich uhořelo
spo|Brankáři Bartošákovi zkazila reprezentační premiéru jenom prohra
zpr|Vedra překonala teplotní rekord na 36 stanicích. V Husinci-Řeži bylo 36 °C
zpr|Ruský tanker poprvé zdolal arktické vody bez ledoborce. Pomohlo i oteplování
spo|Ostrava proti Praze. Czech Bowl nabídne souboj hegemona se senzací
tec|ROZSTŘEL: Internet nám napoprvé nepovolili, vzpomínali v Rozstřelu experti
zpr|Obsluhu obměkčila slzami, rituální eura rozměnila jako pravou bankovku
spo|Zaparkovaný vůz způsobil pád pelotonu ve 4. etapě Kolem Británie
zpr|Středověkou osadu Bystřec vypálili. Dodnes se neví, proč i vyvraždili
spo|Honičky na Hedvábné stezce, Kolomý se vrátil do průběžného vedení
spo|Tituly? Štěstí na velmi dobré týmy, říká hradecká posila Graňák
zpr|Snažili jsme se zmanipulovat volby, přiznala jihokorejská rozvědka
zpr|TÝDEN OBRAZEM: Prasečí koupel, moře bicyklů a středověk v Sydney
spo|Oštěpař Frydrych má limit pro MS, zaútočil na hranici 85 metrů
spo|Senzační vzkříšení. Našli fotbalisté Brna (staro)novou DNA?
zpr|Evropu sužují extrémní vedra nad 40 stupňů Celsia, umírají lidé
zpr|Rok a půl starý kluk se ztratil u rybníka. Našli ho o tři kilometry dál
zpr|Dálnice D5 byla u Nýřan uzavřená. Ve směru na Prahu se střetly dodávky
zpr|Na Petřinách se srazilo auto s tramvají, jeho řidič je vážně zraněn
spo|Ústí se uklidnilo, zato Varnsdorf se nervuje. Je na dně druhé ligy
ona|Cate Blanchettová na rok upozadí herectví kvůli adoptivní dceři
zpr|Mladík strhl ženě řetízek z krku a utíkal, tři kolemjdoucí ho chytili
zpr|V Bostonu demonstrovala krajní pravice, postavily se jí desetitisíce lidí
zpr|Na Orlíku utonulo šestileté dítě. Záchranáři pátrali přes dvě hodiny
spo|Jablonec na soustředění v Rakousku prověří Angličané a Turci
zpr|U školky ležel mrtvý muž, policisté mají podezření na násilný čin
spo|Vzpomínka ožila aneb jak se před deseti lety rodili hrdinové Slavie
zpr|Nevyřízené účty řešil násilník flobertkou, sokovi střílel na nohy
tec|Zapomeňte na Windows 7 a 8.1. Na novém počítači je možná ani nespustíte
tec|Podívejte se na první fotky z nové družice na předpověď počasí
ona|Bude to boj o děti. Na miliardy má Brangelina předmanželskou smlouvu
spo|Hokejový Přerov chce do osmičky, na úvod ho čeká derby s Prostějovem
zpr|V pražském lesíku se strhla partnerská hádka, pobodaný muž nepřežil
ona|Zhubla a měla pokleslé tváře, rozhodla se pro výplně a omládla
zpr|Drogový gang vozil na Karvinsko vietnamské vařiče ze severních Čech
spo|Poslední šance na baráž o MS. Fotbalisté musí vyhrát v Severním Irsku
zpr|S parkováním v Praze pomůže aplikace, zaplatit půjdou jen modré zóny
spo|Šarapovová či Hewitt. Také oni kdysi hráli na juniorském turnaji v Plzni
spo|Stolní tenistky si evropské čtvrtfinále nezahrají, prohrály s Nizozemskem
spo|Konec nadějí, Ovečkin vzdal boj o olympijské hry. Štve mě to, vzkázal
zpr|Český youtuber zpovídal Junckera, ptal se na migraci i Turecko
spo|Crvena zvezda Bělehrad - Sparta 2:0, start nové éry skončil fiaskem
tec|Amazon resetoval některým uživatelům hesla. Bojí se, že došlo k úniku
tec|Do 18 let nepřístupno. Fotograf předělal obývák na erotickou ulici
ona|OBRAZEM: Sexy černá krajka je hit, nosí ji herečky i supermodelky
tec|Apple z obchodů stahuje termostaty Nest od Googlu. Nahradí je „vlastními“ chytrými věcmi
spo|Liga mistrů: Kometa a Třinec uspěly, Liberec s Hradcem padly
zpr|Španělé mají nového podezřelého z útoku, posílí bezpečnost v letoviscích
tec|Vědecký bulvár: Pavouci by nás do roka mohli sníst všechny
zpr|V Česku loni utonulo 181 lidí, nejméně za posledních deset let
spo|Emoce v Ústí. Omlouváme se, vzkázal sokolovský trenér Horváth
spo|Kolocová, Kvapilová začaly ME v plážovém volejbalu výhrou nad domácím párem
spo|Žlutý dres mění majitele. Aru střídá Frooma ve vedení Tour
zpr|Porazíte páťáky? Ověřte si znalosti ve vědomostním kvízu
zpr|Černý pasažér namířil na revizory plynovku. Po dopadení skončil ve vazbě
tec|Mladí vědci ukázali, jak ČR přichází o miliony kvůli vědeckým predátorům
spo|Trenér, který Kiel dovedl k dokonalosti: Jícha jako lídr uměl všechno
zpr|Uprchlíky přijímat nemusíme. Do Evropy jsme je nezvali, prohlásil Kaczyński
zpr|Sobota byla letos nejtragičtějším dnem na silnicích, zemřelo devět lidí
tec|Našli vodík. Čeští vědci otevírají novou kapitolu ve zkoumání hmoty
spo|Proč šel Kúdela ven? Chybami však sudí v Liberci poškodili víc Spartu
zpr|Senátoři navrhli vyznamenat pěvkyni Urbanovou či cestovatele Stingla
spo|Návrat střelce: Nebýt olympiády, asi bych se dál rval o KHL, říká Kubalík
tec|Software zdarma: Špičkový audiopřehrávač pro PC, smartphone a tablet
spo|Poslední měsíc v Českých Budějovicích? Vozábal míří do Sparty
tec|OBRAZEM: Lehký motorák od Alstomu bude vozit české cestující
ona|V šatech vypadám odporně, říká oscarová kostymérka, které se posmívají
tec|Šetřit se už nevyplatí. I když nespotřebujete „ani Watt“, zaplatíte víc
zpr|Majitelé budou muset psy povinně čipovat. Poslanci legalizovali i zabijačku
zpr|Osmaosmdesátiletá řidička nedala přednost v jízdě, zraněny byly tři ženy
tec|I Maďaři výrazně prodlužují životnost starých jaderných elektráren
tec|YouTube přehrává videa pro virtuální realitu. Můžete přistát na Měsíci
spo|Smolař, jenž nikdy nepřestal věřit. Zasáhne Pilař i do bitvy s Larnakou?
spo|VZPOMÍNKA: Tenkrát v Aténách. Jak Berdych šokoval svět i Rogera
spo|Trenér Pavelka nabízel Američanku, ve Varech nakonec angažmá získal sám
spo|Tolik omluvenek být nesmí. Růžička volá po „tatínkovi pro reprezentaci“
zpr|Soud řeší výjezd do kavárny k vražedkyni Sudků, napadená zkolabovala
tec|Britští lékaři vyzkoušeli nový postup léčby rakoviny na dvou miminkách
tec|Tipy pro Windows 8.1: Změna MAC adresy či písmene diskové jednotky
zpr|Londýnská ikona utichne. Big Ben čeká čtyřletý odpočinek kvůli opravám
zpr|Motorkář v zatáčce dostal smyk, podletěl svodidla a spadl ze srázu do lesa
zpr|Prostitutka, která bodla bývalého milence, si ve vězení odsedí osm let
spo|Tvoříme si vlastní esperanto, říká jihlavský kouč Vlk
tec|Brzy vezmeme evoluci do svých rukou, říká nositel Nobelovy ceny
zpr|Hasiči zachránili opilého muže z řeky v centru, nemohl se dostat ven
spo|Co bude s Pastrňákem? Hra nervů o novou smlouvu jde do finále
spo|I rozhodčí je jen člověk, udělal chybu, řekl teplický bek k penaltě
spo|Změna v týmu světa. Raonice na Laver Cupu v Praze nahradí Kyrgios
ona|Zakřiknutá Ivana by chtěla životní změnu, začala novým sexy účesem
tec|Nejlepší filmový zvuk můžete mít i doma. Tohle všechno budete potřebovat
spo|Mbappé jde za Neymarem do Paříže. Jako druhý nejdražší v historii
ona|Dvojnásobná matka: Ženy po porodu nejsou dokonalé, taková je realita
ona|Poradna: Dospělý syn se trápí, může za to můj rozvod?
zpr|Trump přemýšlí o agresivnější strategii vůči Íránu, píše agentura
spo|Teplice - Dukla 3:1, hostům se v úvodu ligy nedaří, podruhé jasně padli
tec|Vyzkoušejte si nápaditou konkurenci prezentačního PowerPoint zadarmo
tec|Takto bude vypadat voják roku 2025. Jeho výbava vás možná překvapí
zpr|Lidé zaplatili předem za vojenské předměty i zlaté mince, nic nedostali
zpr|Děkuju andělům strážným, řekl hradní protokolář Kruliš po návratu do práce
spo|US OPEN: Siniaková s Hradeckou slaví suverénní postup do finále
ona|Oblíbené cukroví podle Fabešové: rohlíčky a košíčky s čokoládovým krémem
zpr|Čekárny psychiatrů praskají ve švech. Obor je podfinancovaný, říká odborník
ona|Sedmdesátnice Priscilla Presley se snaží zastavit čas botoxem
spo|Laufař Řezáč vymění lyže za běžecké tretry: Potřebuju shodit
zpr|Nejtvrdší hasiči zvládli za minutu a půl to, co by jiným trvalo hodinu
zpr|Armáda zmodernizuje dělostřelectvo, nakoupí nové protiletadlové systémy
zpr|Sklad mečů měli pod postelí. Nyní je sami vyrábí a zásobují Hollywood
zpr|Mladík ochrnutý po pádu náhrobku žádá po škole skoro 14 milionů
zpr|Máš doma mou manželku! vnutili se lupiči s křikem do cizího bytu
zpr|Jsi jen můj otrok. Muž deset let týral ženu před dítětem i okolím
ona|Proč nám chutná nezdravé jídlo: mohou za to lovci mamutů
zpr|Teplé dny budou střídat ty chladné. Na konci srpna se postupně ochladí
zpr|Řidič kradl mobilní telefony, které převážel ze skladu na prodejny
tec|Víte, že 93 % komunikace probíhá beze slov? Vyvracíme nesmyslný mýtus
tec|Uživatelé e-mailu od Googlu by si měli dát pozor na nový útok
zpr|Začátek týdne bude chladnější. Od čtvrtka čekejme třicítky, ale i bouřky
spo|Po dvou letech na stupních. Biker Kulhavý dojel druhý v Lenzerheide
spo|Curry se v premiéře na profesionálním golfovém turnaji neztratil
ona|Aňa Geislerová: Střílím naslepo, dělám chyby, ale nejsem srab
spo|Arsenal: šílený a nekoukatelný. Tohle je za hranou, tvrdí legenda Henry
zpr|V truhlářství u Klatov hořela fréza, k silu s pilinami se oheň nedostal
zpr|Trať z Prahy na jih Čech zastavila tragická nehoda, ženu srazil vlak
zpr|Řidič dostal žízeň, s taškou plnou alkoholu nadýchal 3,74 promile
ona|Od rybího tuku po bakterie v látce. Jak se měnilo funkční oblečení
spo|Snad už nebudu v plavkách zapotřebí, doufá stálice bazénů
zpr|Policie odložila případ zmizelé školačky, přítel matky byl jediný podezřelý
spo|Kajakář Dostál pojede na MS finále i na neolympijské pětistovce
zpr|Při hromadné nehodě se v Brazílii na dálnici „usmažilo“ 36 aut
spo|Při zraněních nepomůže. Bek Janža odchází z Plzně hostovat na Kypr
zpr|Soud poslal brazilského exprezidenta na téměř deset let do vězení
zpr|Letošní teplotní maximum z úterý padlo, ve Strážnici naměřili 38,3 stupně
zpr|Za jedenáctitisícový podvod s dotací hrozí šéfce sociálních služeb vězení
zpr|Na pohřeb lze mrtvé připravit doma, pomáhá to, říká průvodkyně pozůstalých
zpr|USA a Rusko plánují příměří v jihozápadní Sýrii. Platit má od neděle
zpr|Žena přepadla s pistolí hernu v Praze, policie ji dopadla za 15 hodin
ona|VIDEO: Pulsní světlo pleť omladí a sjednotí, chodí na něj i dvacátnice
spo|Satoranský přijde o generálku před ME. Češi šetří svaly svého lídra
tec|Skype je opraven, už by měl fungovat bez problémů
zpr|Legendární Hošnova vila v plamenech. Shořela střecha, škoda je půl milionu
zpr|Za Islámský stát v Sýrii bojuje stále 2500 Evropanů, píše německý deník
ona|VIDEO: Čelenku zapleťte do copu a vyrazte do školy i na ples
zpr|Mají jiná čísla, reorganizace neuškodila, brání se policie kritice žalobců
tec|Facebook bude bojovat proti sebevraždám po celém světě, musíte mu pomoci
zpr|Nehoda dvou aut a kamionu blokovala silnici do Aše
ona|Holky chtějí vztah, kluci přátelství s výhodami. S věkem se shodnou
spo|Světová jednička Muguruzaová má jako první jistý Turnaj mistryň
